2026-03-05 20:32:02.8315|INFO|GadrocsWorkshop.Helios.HeliosInit|Helios Version 1.6.6170.3|
2026-03-05 20:32:02.8595|INFO|GadrocsWorkshop.Helios.FontManager|Loaded private font "Helios Virtual Cockpit A-10C_ALQ_213" for use in Helios|
2026-03-05 20:32:02.8785|INFO|GadrocsWorkshop.Helios.FontManager|Loaded private font "Helios Virtual Cockpit A-10C_ARC_164" for use in Helios|
2026-03-05 20:32:02.8785|INFO|GadrocsWorkshop.Helios.FontManager|Loaded private font "Helios Virtual Cockpit A-10C_Digital_Clock" for use in Helios|
2026-03-05 20:32:02.8785|INFO|GadrocsWorkshop.Helios.FontManager|Loaded private font "AH-64D-CMWS Regular" for use in Helios|
2026-03-05 20:32:02.8785|INFO|GadrocsWorkshop.Helios.FontManager|Loaded private font "AH-64D-KU Regular" for use in Helios|
2026-03-05 20:32:02.8785|INFO|GadrocsWorkshop.Helios.FontManager|Loaded private font "Helios Virtual Cockpit APN209 LED" for use in Helios|
2026-03-05 20:32:02.8785|INFO|GadrocsWorkshop.Helios.FontManager|Loaded private font "DSEG14 Classic Regular" for use in Helios|
2026-03-05 20:32:02.8785|INFO|GadrocsWorkshop.Helios.FontManager|Loaded private font "DSEG7 Classic Regular" for use in Helios|
2026-03-05 20:32:02.8785|INFO|GadrocsWorkshop.Helios.FontManager|Loaded private font "Helios Virtual Cockpit F-15E_Up_Front_Controller" for use in Helios|
2026-03-05 20:32:02.8785|INFO|GadrocsWorkshop.Helios.FontManager|Loaded private font "Helios Virtual Cockpit F-16C_Viper_DED" for use in Helios|
2026-03-05 20:32:02.8785|INFO|GadrocsWorkshop.Helios.FontManager|Loaded private font "Helios Virtual Cockpit F/A-18C Hornet IFEI" for use in Helios|
2026-03-05 20:32:02.8785|INFO|GadrocsWorkshop.Helios.FontManager|Loaded private font "Helios Virtual Cockpit F/A-18C_Hornet-Up_Front_Controller" for use in Helios|
2026-03-05 20:32:02.8785|INFO|GadrocsWorkshop.Helios.FontManager|Loaded private font "Helios Virtual Cockpit A-10C_ARC-210_Large" for use in Helios|
2026-03-05 20:32:02.8785|INFO|GadrocsWorkshop.Helios.FontManager|Loaded private font "Helios Virtual Cockpit A-10C_ARC-210_Small" for use in Helios|
2026-03-05 20:32:02.8785|INFO|GadrocsWorkshop.Helios.FontManager|Loaded private font "Helios Virtual Cockpit 2000C_PCA_16_Segment" for use in Helios|
2026-03-05 20:32:02.8785|INFO|GadrocsWorkshop.Helios.FontManager|Loaded private font "LED Counter 7 Regular" for use in Helios|
2026-03-05 20:32:02.8785|INFO|GadrocsWorkshop.Helios.FontManager|Loaded private font "MS 33558 Regular" for use in Helios|
2026-03-05 20:32:03.3279|INFO|GadrocsWorkshop.Helios.LogManager|Helios 1.6.6170.0003
https://github.com/HeliosVirtualCockpit/Helios/|
2026-03-05 20:32:30.7566|INFO|GadrocsWorkshop.Helios.LogManager|Loading Profile...|
2026-03-05 20:32:30.7676|INFO|GadrocsWorkshop.Helios.DisplayManager|Helios has determined screen DPI is 96|
2026-03-05 20:32:30.8335|INFO|GadrocsWorkshop.Helios.DisplayManager|Helios has determined screen DPI is 96|
2026-03-05 20:32:31.0971|INFO|GadrocsWorkshop.Helios.ImageManager|Load for Image {Helios}/Gauges/KA-50/RadarAltimeter/radar_alt_needle.xaml is being redirected to {Ka-50}/Gauges/RadarAltimeter/radar_alt_needle.xaml|
2026-03-05 20:32:31.0971|INFO|GadrocsWorkshop.Helios.ImageManager|Load for Image {Helios}/Gauges/KA-50/RadarAltimeter/radar_alt_faceplate.xaml is being redirected to {Ka-50}/Gauges/RadarAltimeter/radar_alt_faceplate.xaml|
